title,icon,time,compatible,evaluate,discount,origin_price,now_price,detailLink
No Man's Sky 无人深空,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/275850/capsule_sm_120_alt_assets_24.jpg?t=1721300183,2016 年 8 月 13 日,"[""win"", ""mac""]",好评！,40,59,23,https://store.steampowered.com/app/275850/No_Mans_Sky/?snr=1_7_7_2300_150_1
GUILTY GEAR -STRIVE-,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1384160/capsule_sm_120.jpg?t=1721805667,2021 年 6 月 11 日,"[""win""]",好评！,50,39,19,https://store.steampowered.com/app/1384160/GUILTY_GEAR_STRIVE/?snr=1_7_7_2300_150_1
灾厄堡垒 Cataclismo,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1422440/capsule_sm_120_schinese.jpg?t=1721702066,2024 年 7 月 22 日,"[""win""]",好评！,80,29,23,https://store.steampowered.com/app/1422440/_Cataclismo/?snr=1_7_7_2300_150_1
Grand Theft Auto V,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/271590/capsule_sm_120.jpg?t=1720472998,2015 年 4 月 14 日,"[""win""]",好评！,37,39,14,https://store.steampowered.com/app/271590/Grand_Theft_Auto_V/?snr=1_7_7_2300_150_1
Red Dead Redemption 2,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1174180/capsule_sm_120.jpg?t=1720558643,2019 年 12 月 6 日,"[""win""]",好评！,33,59,19,https://store.steampowered.com/app/1174180/Red_Dead_Redemption_2/?snr=1_7_7_2300_150_1
Tom Clancy's Rainbow Six® Siege,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/359550/capsule_sm_120.jpg?t=1719504498,2015 年 12 月 2 日,"[""win""]",好评！,40,19,7,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/?snr=1_7_7_2300_150_1
American Truck Simulator,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/270880/capsule_sm_120.jpg?t=1718720768,2016 年 2 月 3 日,"[""win"", ""mac"", ""linux""]",好评！,25,19,4,https://store.steampowered.com/app/270880/American_Truck_Simulator/?snr=1_7_7_2300_150_1
Street Fighter 6,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1364780/capsule_sm_120.jpg?t=1719365041,2023 年 6 月 2 日,"[""win""]",好评！,50,59,29,https://store.steampowered.com/app/1364780/Street_Fighter_6/?snr=1_7_7_2300_150_1
Hearts of Iron IV,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/394360/capsule_sm_120.jpg?t=1721371587,2024 年 4 月 10 日,"[""win"", ""mac"", ""linux""]",好评！,30,49,14,https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/?snr=1_7_7_2300_150_1
庄园领主 Manor Lords,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1363080/capsule_sm_120_schinese.jpg?t=1721350785,2024 年 4 月 26 日,"[""win""]",好评！,75,39,29,https://store.steampowered.com/app/1363080/_Manor_Lords/?snr=1_7_7_2300_150_1
